player,role,sold_price_cr,2023_squad,team,base_price_cr,status
Spencer Johnson,BOWLER,10.0,Not Mentioned,Gujrat Titans,0.5,sold
Shahrukh Khan,ALL-ROUNDER,7.4,PBKS,Gujrat Titans,0.4,sold
Umesh Yadav,BOWLER,5.8,KKR,Gujrat Titans,2.0,sold
Robin Minz,WICKETKEEPER,3.6,Not Mentioned,Gujrat Titans,0.2,sold
Sushant Mishra,BOWLER,2.2,Not Mentioned,Gujrat Titans,0.2,sold
Kartik Tyagi,BOWLER,0.6,SRH,Gujrat Titans,0.2,sold
Azmatullah Omarzai,ALL-ROUNDER,0.5,Not Mentioned,Gujrat Titans,0.5,sold
Manav Suthar,BOWLER,0.2,Not Mentioned,Gujrat Titans,0.2,sold
David Miller,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Shubman Gill,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Matthew Wade,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Wriddhiman Saha,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Kane Williamson,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Abhinav Manohar,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
B. Sai Sudharsan,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Darshan Nalkande,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Vijay Shankar,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Jayant Yadav,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Rahul Tewatia,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Mohammed Shami,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Noor Ahmad,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
R. Sai Kishore,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Rashid Khan,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Joshua Little,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Mohit Sharma,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Daryl Mitchell,ALL-ROUNDER,14.0,Not Mentioned,Chennai Super Kings,1.0,sold
Sameer Rizvi,BATTER,8.4,Not Mentioned,Chennai Super Kings,0.2,sold
Shardul Thakur,ALL-ROUNDER,4.0,KKR,Chennai Super Kings,2.0,sold
Mustafizur Rahman,BOWLER,2.0,DC,Chennai Super Kings,2.0,sold
Rachin Ravindra,ALL-ROUNDER,1.8,Not Mentioned,Chennai Super Kings,0.5,sold
Avanish Rao Aravelly,WICKETKEEPER,0.2,Not Mentioned,Chennai Super Kings,0.2,sold
MS Dhoni,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Moeen Ali,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Deepak Chahar,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Devon Conway,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Tushar Deshpande,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Shivam Dube,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ruturaj Gaikwad,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Rajvardhan Hangargekar,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ravindra Jadeja,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ajay Mandal,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Mukesh Choudhary,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Matheesha Pathirana,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
