matchId,season,date,team1,team2,winner,venue,city,toss_winner,toss_decision,player_of_match,outcome,winner_runs,winner_wickets
335982,2007/08,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,BB McCullum,,140.0,0.0
335983,2007/08,2008-04-19,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,MEK Hussey,,33.0,0.0
335984,2007/08,2008-04-19,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,MF Maharoof,,0.0,9.0
335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,bat,MV Boucher,,0.0,5.0
335986,2007/08,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata,Deccan Chargers,bat,DJ Hussey,,0.0,5.0
335987,2007/08,2008-04-21,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,SR Watson,,0.0,6.0
335988,2007/08,2008-04-22,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,V Sehwag,,0.0,9.0
335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,ML Hayden,,6.0,0.0
335990,2007/08,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,YK Pathan,,0.0,3.0
335991,2007/08,2008-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,KC Sangakkara,,66.0,0.0
335992,2007/08,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,SR Watson,,0.0,7.0
335993,2007/08,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,JDP Oram,,0.0,9.0
335994,2007/08,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,AC Gilchrist,,0.0,10.0
335995,2007/08,2008-04-27,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,SM Katich,,0.0,4.0
335996,2007/08,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,MS Dhoni,,13.0,0.0
335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,ST Jayasuriya,,0.0,7.0
335998,2007/08,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,GD McGrath,,10.0,0.0
